,collection_date,country,db_xref,genotype,host,isolate,mol_type,note,organism,subtype,chromosome,clone,culture_collection,isolation_source,map,serotype,strain,PCR_primers,collected_by,lab_host,identified_by,lat_lon,pop_variant,cell_type,clone_lib,dev_stage,sex,tissue_type
1414,07-Aug-2012,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 1 year,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV62/2012,,,,,,,,,,,
1415,29-Jun-2015,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 48 years,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV07/2015,,,,,,,,,,,
1416,23-Aug-2012,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 9 months,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV65/2012,,,,,,,,,,,
1417,01-Aug-2012,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 1 year,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV58/2012,,,,,,,,,,,
1418,28-Jun-2015,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 3 months,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV06/2015,,,,,,,,,,,
1419,23-Jun-2011,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 6 years,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV70/2011,,,,,,,,,,,
1420,27-Aug-2010,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 6 weeks,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV92/2010,,,,,,,,,,,
1421,19-Jun-2014,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 3 weeks,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV29/2014,,,,,,,,,,,
1422,03-Jul-2011,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 4 months,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV73/2011,,,,,,,,,,,
1423,05-Aug-2012,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 1 year,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV59/2012,,,,,,,,,,,
1424,09-Jul-2015,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 5 years,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV13/2015,,,,,,,,,,,
1425,21-Oct-2010,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 15 months,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV99/2010,,,,,,,,,,,
1426,29-Jun-2013,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 60 years,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV40/2013,,,,,,,,,,,
1427,09-Jul-2011,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 4 weeks,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV78/2011,,,,,,,,,,,
1428,08-Jun-2014,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 67 years,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV26/2014,,,,,,,,,,,
1429,28-Aug-2012,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 3 years,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV66/2012,,,,,,,,,,,
1430,09-Jun-2013,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 1 year,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV37/2013,,,,,,,,,,,
1431,09-Jul-2011,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 17 months,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV77/2011,,,,,,,,,,,
1432,16-Jun-2014,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 6 weeks,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV28/2014,,,,,,,,,,,
1433,19-Jun-2015,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 4 months,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV02/2015,,,,,,,,,,,
1434,11-Jun-2014,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 4 months,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV27/2014,,,,,,,,,,,
1435,22-Jun-2015,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 1 month,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV03/2015,,,,,,,,,,,
1436,29-Jul-2012,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 6 months,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV55/2012,,,,,,,,,,,
1437,04-Jun-2014,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 5 weeks,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV23/2014,,,,,,,,,,,
1438,17-Jul-2011,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 3 years,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV75/2011,,,,,,,,,,,
1439,23-Jun-2011,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 16 months,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV69/2011,,,,,,,,,,,
1440,06-Jul-2013,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 2 months,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV42/2013,,,,,,,,,,,
1441,22-Oct-2013,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 4 years,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV49/2013,,,,,,,,,,,
1442,05-Jun-2014,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 3 weeks,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV25/2014,,,,,,,,,,,
1443,08-Jul-2015,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 89 years,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV10/2015,,,,,,,,,,,
1444,28-Jun-2014,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 1 year,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV32/2014,,,,,,,,,,,
1445,18-Jun-2013,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 3 years,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV39/2013,,,,,,,,,,,
1446,19-Sep-2011,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 22 months,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV85/2011,,,,,,,,,,,
1447,30-Jul-2014,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 1 year,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV33/2014,,,,,,,,,,,
1448,23-Jul-2012,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 13 years,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV54/2012,,,,,,,,,,,
1449,27-Aug-2010,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 12 weeks,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV91/2010,,,,,,,,,,,
1450,09-Aug-2010,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 16 months,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV89/2010,,,,,,,,,,,
1451,08-Jul-2015,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 3 months,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV12/2015,,,,,,,,,,,
1452,27-Jul-2013,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 2 months,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV43/2013,,,,,,,,,,,
1453,16-Sep-2011,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 22 months,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV81/2011,,,,,,,,,,,
1454,31-May-2014,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 3 months,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV22/2014,,,,,,,,,,,
1455,18-Sep-2011,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 21 months,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV84/2011,,,,,,,,,,,
1456,05-Aug-2010,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 2 months,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV87/2010,,,,,,,,,,,
1457,30-May-2014,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 6 weeks,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV21/2014,,,,,,,,,,,
1458,01-Aug-2013,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 45 years,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV44/2013,,,,,,,,,,,
1459,03-Jul-2011,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 3 months,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV72/2011,,,,,,,,,,,
1460,30-Jul-2012,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 1 year,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV56/2012,,,,,,,,,,,
1461,30-Jul-2014,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 37 years,,viral cRNA,passage history: P0,Human orthopneumovirus,B,,,,,,,RSVB/Homo sapiens/NZL/LJRSV34/2014,,,,,,,,,,,
1462,28-Jun-2015,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: female; age: 2 weeks,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV05/2015,,,,,,,,,,,
1463,18-Jun-2015,New Zealand: Christchurch,taxon:11250,NaN,Homo sapiens; sex: male; age: 1 month,,viral cRNA,passage history: P0,Human orthopneumovirus,A,,,,,,,RSVA/Homo sapiens/NZL/LJRSV01/2015,,,,,,,,,,,
1464,,France:Caen,taxon:11250,NaN,,004-002,genomic RNA,,Human orthopneumovirus,B,,,,,,,hRSVB/Caen.FRA/35.12,,,,,,,,,,,
1465,,France:Caen,taxon:11250,NaN,,004-007,genomic RNA,,Human orthopneumovirus,B,,,,,,,hRSVB/Caen.FRA/41.12,,,,,,,,,,,
1466,,France:Caen,taxon:11250,NaN,,004-011,genomic RNA,,Human orthopneumovirus,B,,,,,,,hRSVB/Caen.FRA/39.12,,,,,,,,,,,
1467,,France:Caen,taxon:11250,NaN,,004-017,genomic RNA,,Human orthopneumovirus,B,,,,,,,hRSVB/Caen.FRA/38.13,,,,,,,,,,,
1468,,France:Caen,taxon:11250,NaN,,004-010,genomic RNA,,Human orthopneumovirus,B,,,,,,,hRSVB/Caen.FRA/47.13,,,,,,,,,,,
1469,,France:Caen,taxon:11250,NaN,,004-009,genomic RNA,,Human orthopneumovirus,B,,,,,,,hRSVB/Caen.FRA/27.12,,,,,,,,,,,
1470,,France:Caen,taxon:11250,NaN,,004-008,genomic RNA,,Human orthopneumovirus,B,,,,,,,hRSVB/Caen.FRA/46.12,,,,,,,,,,,
1471,,France:Caen,taxon:11250,NaN,,004-005,genomic RNA,,Human orthopneumovirus,B,,,,,,,hRSVB/Caen.FRA/42.12,,,,,,,,,,,
1472,,France:Caen,taxon:11250,NaN,,004-004,genomic RNA,,Human orthopneumovirus,B,,,,,,,hRSVB/Caen.FRA/25.12,,,,,,,,,,,
1473,,France:Caen,taxon:11250,NaN,,004-003,genomic RNA,,Human orthopneumovirus,B,,,,,,,hRSVB/Caen.FRA/38.12,,,,,,,,,,,
1474,,France:Caen,taxon:11250,NaN,,004-022,genomic RNA,,Human orthopneumovirus,B,,,,,,,hRSVB/Caen.FRA/38.14,,,,,,,,,,,
1475,07-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10010_63_RSVA_2010,viral cRNA,genotype: subtype29,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1476,18-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_39_RSVA_2010,viral cRNA,genotype: subtype26,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1477,13-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_34_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1478,03-May-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11864_38_RSVA_2010,viral cRNA,genotype: subtype38,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1479,22-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_40_RSVA_2010,viral cRNA,genotype: subtype26,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1480,15-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10590_39_RSVA_2010,viral cRNA,genotype: subtype14,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1481,16-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10028_14_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1482,13-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11863_2_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1483,26-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11862_25_RSVA_2010,viral cRNA,genotype: subtype38,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1484,13-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11866_70_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1485,27-Feb-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10010_51_RSVA_2010,viral cRNA,genotype: subtype29,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1486,26-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11862_26_RSVA_2010,viral cRNA,genotype: subtype38,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1487,26-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_42_RSVA_2010,viral cRNA,genotype: subtype26,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1488,09-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10025_31_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1489,26-Feb-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_9466_18_RSVA_2010,viral cRNA,genotype: subtype40,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1490,16-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_37_RSVA_2010,viral cRNA,genotype: subtype26,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1491,03-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10010_58_RSVA_2010,viral cRNA,genotype: subtype29,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1492,14-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10028_5_RSVA_2010,viral cRNA,genotype: subtype57,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1493,07-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10028_8_RSVA_2010,viral cRNA,genotype: subtype57,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1494,02-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11866_62_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1495,15-Feb-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_9465_13_RSVA_2010,viral cRNA,genotype: subtype40,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1496,30-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10025_22_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1497,26-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11862_27_RSVA_2010,viral cRNA,genotype: subtype38,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1498,26-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11862_23_RSVA_2010,viral cRNA,genotype: subtype38,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1499,22-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11862_19_RSVA_2010,viral cRNA,genotype: subtype38,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1500,22-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11863_18_RSVA_2010,viral cRNA,genotype: subtype38,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1501,04-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_9696_34_RSVA_2010,viral cRNA,genotype: subtype14,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1502,09-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10028_13_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1503,04-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_9696_36_RSVA_2010,viral cRNA,genotype: subtype14,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1504,24-Feb-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_45_RSVA_2010,viral cRNA,genotype: subtype29,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1505,10-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10028_2_RSVA_2010,viral cRNA,genotype: subtype57,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1506,05-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11866_64_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1507,04-May-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11864_52_RSVA_2010,viral cRNA,genotype: subtype57,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1508,06-May-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11864_40_RSVA_2010,viral cRNA,genotype: subtype38,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1509,10-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10028_3_RSVA_2010,viral cRNA,genotype: subtype57,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1510,16-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10590_42_RSVA_2010,viral cRNA,genotype: subtype26,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1511,02-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10025_25_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1512,30-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10002_70_RSVA_2010,viral cRNA,genotype: subtype31,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1513,18-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_38_RSVA_2010,viral cRNA,genotype: subtype26,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1514,09-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10025_29_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1515,15-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10899_34_RSVA_2010,viral cRNA,genotype: subtype14,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1516,24-Feb-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_48_RSVA_2010,viral cRNA,genotype: subtype29,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1517,19-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10028_15_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1518,29-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10589_25_RSVA_2010,viral cRNA,genotype: subtype38,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1519,22-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10899_35_RSVA_2010,viral cRNA,genotype: subtype14,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1520,11-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_9466_23_RSVA_2010,viral cRNA,genotype: subtype40,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1521,27-Feb-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10010_50_RSVA_2010,viral cRNA,genotype: subtype29,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1522,07-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10028_4_RSVA_2010,viral cRNA,genotype: subtype57,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1523,11-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11863_11_RSVA_2010,viral cRNA,genotype: subtype14,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1524,09-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10025_32_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1525,22-Feb-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_9466_17_RSVA_2010,viral cRNA,genotype: subtype40,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1526,05-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11863_1_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1527,16-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_36_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1528,24-Feb-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_47_RSVA_2010,viral cRNA,genotype: subtype29,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1529,19-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11863_17_RSVA_2010,viral cRNA,genotype: subtype38,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1530,29-Apr-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10589_23_RSVA_2010,viral cRNA,genotype: subtype38,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1531,21-Feb-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_44_RSVA_2010,viral cRNA,genotype: subtype29,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1532,18-Feb-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_9465_15_RSVA_2010,viral cRNA,genotype: subtype40,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1533,24-Feb-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10014_46_RSVA_2010,viral cRNA,genotype: subtype29,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1534,03-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10010_60_RSVA_2010,viral cRNA,genotype: subtype29,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1535,07-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10028_1_RSVA_2010,viral cRNA,genotype: subtype57,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1536,03-Mar-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_10010_57_RSVA_2010,viral cRNA,genotype: subtype29,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
1537,21-May-2010,Kenya,taxon:11250,NaN,Homo sapiens,Kilifi_11863_6_RSVA_2010,viral cRNA,genotype: subtype5,Human orthopneumovirus,NaN,,,,,,,,,,,,,,,,,,
